epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,437.813,1.57114,0.78028,0.84204,0.90658,0.78691,0.95291,0.52547,1.68515,0.80445,0.82255,0.00184556,0.00184556,0.00184556
80,443.21,1.49972,0.76968,0.83647,0.92547,0.83784,0.95868,0.48321,1.84148,0.70022,0.8274,0.00184358,0.00184358,0.00184358
81,448.277,1.53263,0.72844,0.81684,0.8866,0.86486,0.95224,0.50756,1.62623,0.6297,0.8188,0.0018416,0.0018416,0.0018416
82,453.651,1.57496,0.77434,0.81639,0.91861,0.72973,0.87385,0.46409,1.69412,0.76504,0.81372,0.00183962,0.00183962,0.00183962
83,458.459,1.59089,0.72532,0.83591,0.89364,0.7027,0.86277,0.45439,1.58365,0.89833,0.81277,0.00183764,0.00183764,0.00183764
84,463.646,1.71015,0.8127,0.78642,0.83314,0.72973,0.82156,0.36357,2.02263,1.07902,0.82269,0.00183566,0.00183566,0.00183566
85,468.597,1.6837,0.78835,0.83599,0.90246,0.75034,0.89344,0.43751,1.82112,0.91094,0.81585,0.00183368,0.00183368,0.00183368
86,473.98,1.70065,0.77526,0.82899,0.8338,0.78378,0.90999,0.44045,1.8374,0.80408,0.81534,0.0018317,0.0018317,0.0018317
87,479.291,1.70506,0.81046,0.80476,0.91496,0.78378,0.93378,0.46087,1.79882,0.81982,0.81769,0.00182972,0.00182972,0.00182972
88,484.545,1.60325,0.68703,0.82091,0.93959,0.86486,0.96356,0.53,1.47494,0.70484,0.812,0.00182774,0.00182774,0.00182774
89,489.726,1.62956,0.76205,0.798,0.93801,0.91892,0.96986,0.50179,1.608,0.69543,0.81402,0.00182576,0.00182576,0.00182576
90,494.952,1.53005,0.83598,0.79681,0.94433,0.91691,0.97397,0.50936,1.60047,0.77239,0.81815,0.00182378,0.00182378,0.00182378
91,500.172,1.50613,0.70218,0.82937,0.92079,0.94259,0.97133,0.51931,1.59282,0.76812,0.8196,0.0018218,0.0018218,0.0018218
92,505.413,1.54529,0.72087,0.80632,0.91347,0.91892,0.97308,0.45456,1.76863,0.69047,0.82446,0.00181982,0.00181982,0.00181982
93,510.505,1.63419,0.76063,0.80855,0.96942,0.85692,0.95942,0.44999,1.88796,0.70129,0.82547,0.00181784,0.00181784,0.00181784
94,515.926,1.62029,0.73581,0.82324,0.90993,0.81929,0.95077,0.51996,1.60461,0.69936,0.81382,0.00181586,0.00181586,0.00181586
95,520.696,1.66783,0.70266,0.80506,0.91387,0.86036,0.95119,0.53313,1.57501,0.66625,0.81492,0.00181388,0.00181388,0.00181388
96,525.971,1.62521,0.66458,0.80753,0.98416,0.86486,0.97234,0.45306,1.92022,0.69704,0.83087,0.0018119,0.0018119,0.0018119
97,530.69,1.64863,0.70628,0.82955,0.96022,0.89189,0.97125,0.51553,1.66109,0.60645,0.82536,0.00180992,0.00180992,0.00180992
98,536.062,1.76852,0.84293,0.82448,0.95379,0.89189,0.97548,0.51781,1.67414,0.67703,0.82207,0.00180794,0.00180794,0.00180794
99,541.168,1.49621,0.76697,0.81402,0.99667,0.86486,0.97684,0.48726,1.74642,0.75252,0.81761,0.00180596,0.00180596,0.00180596
100,546.293,1.55634,0.64683,0.82651,0.8663,0.87574,0.90845,0.50664,1.7103,0.66318,0.81845,0.00180398,0.00180398,0.00180398
101,551.08,1.64334,0.63571,0.80469,0.91839,0.91259,0.96695,0.52411,1.67719,0.68102,0.81437,0.001802,0.001802,0.001802
102,556.223,1.44268,0.6576,0.79926,0.96302,0.70388,0.85502,0.47638,1.70172,1.01824,0.82988,0.00180002,0.00180002,0.00180002
103,561.339,1.48826,0.66866,0.83694,0.90772,0.64865,0.7657,0.42023,1.80273,1.22873,0.83353,0.00179804,0.00179804,0.00179804
104,566.902,1.50551,0.70359,0.80527,0.96446,0.83784,0.91632,0.49516,1.77281,0.73918,0.82365,0.00179606,0.00179606,0.00179606
105,572.237,1.44346,0.66022,0.79547,0.92999,0.86486,0.91558,0.47276,1.77436,0.697,0.82446,0.00179408,0.00179408,0.00179408
106,578.453,1.60883,0.72278,0.82734,0.90899,0.80984,0.88415,0.4412,1.91503,0.76363,0.83221,0.0017921,0.0017921,0.0017921
107,584.013,1.78944,0.73919,0.81751,0.93242,0.74602,0.88198,0.43145,2.00845,0.95673,0.83497,0.00179012,0.00179012,0.00179012
108,590.052,1.54349,0.68848,0.78947,0.92828,0.69974,0.88183,0.51163,1.65542,1.07445,0.82033,0.00178814,0.00178814,0.00178814
109,595.032,1.68437,0.76493,0.79939,0.94242,0.72973,0.89975,0.50146,1.69922,1.05824,0.81466,0.00178616,0.00178616,0.00178616
110,600.799,1.59357,0.69316,0.79195,0.98774,0.75676,0.88723,0.53074,1.5941,1.11683,0.81328,0.00178418,0.00178418,0.00178418
111,605.593,1.5252,0.75493,0.80182,0.97258,0.78378,0.90619,0.52798,1.56909,0.87918,0.81164,0.0017822,0.0017822,0.0017822
112,610.821,1.58472,0.71112,0.81253,0.87678,0.76944,0.8753,0.50371,1.60133,0.7786,0.81669,0.00178022,0.00178022,0.00178022
113,615.914,1.64986,0.7352,0.81067,0.85991,0.82963,0.88194,0.48614,1.62666,0.78193,0.82247,0.00177824,0.00177824,0.00177824
114,623.558,1.63407,0.73278,0.84249,0.78879,0.83784,0.86268,0.45037,1.67254,0.79657,0.82068,0.00177626,0.00177626,0.00177626
115,629.339,1.66768,0.69372,0.82568,0.79021,0.81447,0.86379,0.45109,1.65788,0.77704,0.81645,0.00177428,0.00177428,0.00177428
116,634.41,1.60812,0.73664,0.81345,0.94696,0.81081,0.94675,0.51639,1.6436,0.67594,0.81499,0.0017723,0.0017723,0.0017723
117,639.201,1.48898,0.65532,0.81931,0.96989,0.87066,0.95167,0.51312,1.59597,0.61172,0.81211,0.00177032,0.00177032,0.00177032
118,644.467,1.47519,0.68314,0.82388,0.95968,0.89189,0.93707,0.50945,1.68485,0.63116,0.81163,0.00176834,0.00176834,0.00176834
119,649.776,1.41291,0.66032,0.82343,0.94258,0.8874,0.95063,0.55314,1.58419,0.64618,0.81436,0.00176636,0.00176636,0.00176636
120,655.668,1.60729,0.69724,0.82916,0.90336,0.86486,0.93067,0.55882,1.57154,0.63562,0.8085,0.00176438,0.00176438,0.00176438
121,660.909,1.52574,0.71194,0.83449,0.93724,0.80739,0.9279,0.56122,1.57337,0.65857,0.81268,0.0017624,0.0017624,0.0017624
122,666.334,1.49218,0.6506,0.82626,0.96059,0.83784,0.95143,0.54418,1.55098,0.64225,0.81553,0.00176042,0.00176042,0.00176042
123,671.493,1.43995,0.61275,0.80236,0.84315,0.87181,0.91718,0.53099,1.58455,0.65313,0.81227,0.00175844,0.00175844,0.00175844
124,677.02,1.40424,0.58086,0.80163,0.91811,0.89189,0.96376,0.52348,1.66548,0.69592,0.81654,0.00175646,0.00175646,0.00175646
125,682.552,1.46322,0.63572,0.83091,0.94466,0.92276,0.96641,0.54349,1.62535,0.68482,0.81749,0.00175448,0.00175448,0.00175448
126,688.694,1.39449,0.60939,0.80848,0.91503,0.87335,0.94768,0.50837,1.68756,0.69807,0.82033,0.0017525,0.0017525,0.0017525
127,694.054,1.47916,0.61182,0.81935,0.91682,0.89372,0.957,0.51655,1.66829,0.70912,0.82224,0.00175052,0.00175052,0.00175052
128,700.02,1.46731,0.60633,0.82459,0.9282,0.89189,0.95322,0.53249,1.59304,0.68917,0.81507,0.00174854,0.00174854,0.00174854
129,704.824,1.43711,0.64151,0.79542,0.8933,0.90523,0.94012,0.51493,1.59971,0.70542,0.81267,0.00174656,0.00174656,0.00174656
130,710.057,1.36511,0.68386,0.81441,0.9306,0.91892,0.95683,0.52427,1.73171,0.65472,0.82315,0.00174458,0.00174458,0.00174458
131,714.935,1.49387,0.63054,0.82489,0.96104,0.91892,0.95906,0.56184,1.56873,0.64399,0.81674,0.0017426,0.0017426,0.0017426
132,720.986,1.47708,0.6857,0.81365,0.92265,0.91892,0.9388,0.51481,1.52404,0.7045,0.81347,0.00174062,0.00174062,0.00174062
133,725.702,1.47952,0.6874,0.81727,0.86135,0.91892,0.93766,0.51496,1.56915,0.74067,0.8087,0.00173864,0.00173864,0.00173864
134,730.6,1.45288,0.70755,0.80952,0.89399,0.91892,0.94372,0.53083,1.58702,0.70974,0.81332,0.00173666,0.00173666,0.00173666
135,735.439,1.37234,0.59384,0.80349,0.94156,0.87109,0.93738,0.49297,1.55637,0.70598,0.81513,0.00173468,0.00173468,0.00173468
136,740.784,1.58848,0.67125,0.81048,0.91652,0.86486,0.93896,0.53057,1.61171,0.66129,0.81256,0.0017327,0.0017327,0.0017327
137,745.906,1.43433,0.69632,0.7909,0.85083,0.86486,0.94103,0.51316,1.67386,0.63076,0.81371,0.00173072,0.00173072,0.00173072
138,751.306,1.42611,0.64985,0.80633,0.88869,0.94595,0.96026,0.54458,1.50548,0.64874,0.81284,0.00172874,0.00172874,0.00172874
139,756.026,1.5171,0.72774,0.79058,0.97125,0.91331,0.9561,0.51684,1.58929,0.71837,0.81904,0.00172676,0.00172676,0.00172676
140,761.129,1.4433,0.68409,0.81992,0.9715,0.78378,0.93508,0.55795,1.51974,0.70645,0.81541,0.00172478,0.00172478,0.00172478
141,766.04,1.37438,0.64173,0.78498,0.94204,0.87871,0.96417,0.55111,1.4975,0.71714,0.81645,0.0017228,0.0017228,0.0017228
142,771.813,1.42589,0.62572,0.80225,0.90603,0.89189,0.93313,0.52549,1.67284,0.85719,0.81183,0.00172082,0.00172082,0.00172082
143,777.579,1.44206,0.63194,0.81722,0.89381,0.91011,0.92754,0.51177,1.69935,0.86313,0.81415,0.00171884,0.00171884,0.00171884
144,783.609,1.50245,0.63321,0.80495,0.93519,0.78003,0.89678,0.48457,1.60837,0.84635,0.80832,0.00171686,0.00171686,0.00171686
145,788.499,1.56307,0.61779,0.80994,0.96262,0.78378,0.93781,0.504,1.67429,0.82869,0.81709,0.00171488,0.00171488,0.00171488
146,793.836,1.4753,0.6159,0.79984,0.99595,0.81081,0.96952,0.54728,1.58436,0.76009,0.81307,0.0017129,0.0017129,0.0017129
147,799.621,1.44389,0.6306,0.81523,0.99586,0.81081,0.96967,0.57157,1.49634,0.74654,0.80607,0.00171092,0.00171092,0.00171092
148,806.07,1.38154,0.5624,0.80673,1,0.83768,0.96398,0.54573,1.59611,0.79258,0.81267,0.00170894,0.00170894,0.00170894
149,810.864,1.42301,0.61218,0.84082,1,0.81047,0.94459,0.53638,1.48931,0.7307,0.81104,0.00170696,0.00170696,0.00170696
150,816.025,1.43266,0.58833,0.80447,0.96683,0.83784,0.95465,0.56862,1.48036,0.64605,0.81395,0.00170498,0.00170498,0.00170498
151,821.107,1.35488,0.57065,0.79962,0.97048,0.88852,0.97692,0.5932,1.41385,0.6572,0.80854,0.001703,0.001703,0.001703
152,827.045,1.36339,0.58159,0.78849,0.97002,0.87458,0.97572,0.58561,1.45719,0.61539,0.81522,0.00170102,0.00170102,0.00170102
153,831.776,1.33994,0.58934,0.81258,0.97126,0.9134,0.97903,0.60909,1.39301,0.55925,0.81392,0.00169904,0.00169904,0.00169904
154,837.821,1.44774,0.55151,0.78393,0.94323,0.89189,0.97155,0.61385,1.41091,0.59736,0.80957,0.00169706,0.00169706,0.00169706
155,843.539,1.39897,0.55338,0.81083,0.9414,0.86838,0.96062,0.578,1.55246,0.59793,0.81553,0.00169508,0.00169508,0.00169508
156,849.002,1.36419,0.56326,0.80371,0.92359,0.91892,0.96751,0.56873,1.49651,0.61404,0.8124,0.0016931,0.0016931,0.0016931
157,854.007,1.44024,0.52472,0.80282,1,0.83232,0.94914,0.5422,1.4788,0.6179,0.80914,0.00169112,0.00169112,0.00169112
158,859.678,1.32261,0.56793,0.80039,1,0.8864,0.97664,0.53762,1.58351,0.71214,0.80394,0.00168914,0.00168914,0.00168914
159,865.028,1.45711,0.56014,0.80908,0.99933,0.89189,0.97812,0.54885,1.53574,0.62279,0.80651,0.00168716,0.00168716,0.00168716
160,871.537,1.4385,0.671,0.79815,0.97057,0.89141,0.98068,0.55542,1.5525,0.68631,0.80825,0.00168518,0.00168518,0.00168518
161,876.877,1.44279,0.64299,0.80061,0.98861,0.83784,0.97128,0.52361,1.61124,0.68169,0.81244,0.0016832,0.0016832,0.0016832
