epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1522.5,0.41601,0.2728,0.82535,0.9278,0.85378,0.87372,0.70414,0.35183,0.21914,0.82664,0.00127621,0.00127621,0.00127621
110,1536.53,0.43021,0.27955,0.83123,0.92233,0.82722,0.85317,0.68723,0.36777,0.22653,0.82895,0.0012748,0.0012748,0.0012748
111,1550.89,0.42059,0.28208,0.82748,0.94661,0.83458,0.86848,0.69777,0.36431,0.22547,0.82951,0.00127338,0.00127338,0.00127338
112,1564.85,0.40884,0.26577,0.82961,0.87562,0.84844,0.86233,0.70008,0.3488,0.21593,0.82622,0.00127197,0.00127197,0.00127197
113,1578.81,0.404,0.26528,0.82543,0.90012,0.8424,0.8615,0.70363,0.35888,0.22065,0.82848,0.00127055,0.00127055,0.00127055
114,1592.48,0.41494,0.2744,0.82617,0.9722,0.83606,0.8656,0.71427,0.36184,0.22465,0.82849,0.00126914,0.00126914,0.00126914
115,1606.9,0.40868,0.27226,0.82361,0.94856,0.84152,0.86004,0.71362,0.34434,0.22247,0.82797,0.00126772,0.00126772,0.00126772
116,1621.23,0.40324,0.26505,0.82287,0.93495,0.84828,0.87265,0.71447,0.35535,0.21991,0.82686,0.00126631,0.00126631,0.00126631
117,1635.18,0.41194,0.26728,0.82502,0.96332,0.84002,0.8642,0.71007,0.36494,0.22766,0.82769,0.00126489,0.00126489,0.00126489
118,1649.07,0.41047,0.27256,0.82435,0.93187,0.85316,0.8775,0.70716,0.35386,0.23065,0.82645,0.00126348,0.00126348,0.00126348
119,1663.17,0.40887,0.27079,0.82631,0.8967,0.84801,0.8657,0.73565,0.36758,0.22665,0.8268,0.00126206,0.00126206,0.00126206
120,1677.97,0.41128,0.26825,0.82579,0.93003,0.84979,0.87602,0.71117,0.34539,0.22004,0.82551,0.00126065,0.00126065,0.00126065
121,1691.63,0.40649,0.27157,0.82371,0.92694,0.84809,0.86709,0.71229,0.34805,0.21792,0.82186,0.00125923,0.00125923,0.00125923
122,1705.69,0.40121,0.26938,0.82337,0.93065,0.85231,0.87187,0.71167,0.3516,0.22109,0.82282,0.00125782,0.00125782,0.00125782
123,1719.89,0.40452,0.27154,0.82593,0.95599,0.85585,0.87793,0.70947,0.35151,0.22125,0.82537,0.00125641,0.00125641,0.00125641
124,1734.85,0.40635,0.2691,0.82548,0.94612,0.86437,0.88128,0.7082,0.35889,0.22346,0.82307,0.00125499,0.00125499,0.00125499
125,1748.84,0.40479,0.2651,0.82728,0.91874,0.85503,0.87809,0.7139,0.35158,0.22009,0.82623,0.00125358,0.00125358,0.00125358
126,1763.17,0.39916,0.26154,0.82448,0.96605,0.86157,0.87746,0.71092,0.36322,0.21747,0.8245,0.00125216,0.00125216,0.00125216
127,1777.6,0.40715,0.2643,0.82337,0.93834,0.86263,0.87889,0.70055,0.35594,0.21662,0.82484,0.00125075,0.00125075,0.00125075
128,1794.85,0.42557,0.2809,0.82703,0.93031,0.83837,0.87211,0.68612,0.35509,0.22501,0.8265,0.00124933,0.00124933,0.00124933
129,1808.73,0.42537,0.26964,0.82585,0.97808,0.84247,0.8756,0.70675,0.36313,0.22302,0.82476,0.00124792,0.00124792,0.00124792
130,1822.75,0.41535,0.26379,0.82617,0.91346,0.85711,0.87459,0.7131,0.35861,0.22144,0.82473,0.0012465,0.0012465,0.0012465
131,1836.67,0.39969,0.2574,0.82652,0.93287,0.86367,0.8748,0.71305,0.34823,0.21569,0.82277,0.00124509,0.00124509,0.00124509
132,1851.52,0.39488,0.2543,0.82176,0.89631,0.8642,0.87468,0.72394,0.3379,0.21224,0.82215,0.00124367,0.00124367,0.00124367
133,1865.74,0.39798,0.26272,0.82092,0.97597,0.8332,0.87268,0.69569,0.34137,0.21044,0.82461,0.00124226,0.00124226,0.00124226
134,1879.74,0.39347,0.25627,0.82204,0.9327,0.84786,0.87425,0.70939,0.35729,0.21727,0.82367,0.00124084,0.00124084,0.00124084
135,1893.68,0.41784,0.26766,0.82589,0.91998,0.84915,0.87327,0.70485,0.37203,0.21876,0.82677,0.00123943,0.00123943,0.00123943
136,1908.54,0.4081,0.26918,0.82428,0.92849,0.86836,0.87887,0.71936,0.34336,0.21414,0.82154,0.00123801,0.00123801,0.00123801
137,1923.06,0.39586,0.26288,0.82318,0.90623,0.85903,0.87501,0.71431,0.35743,0.21963,0.82479,0.0012366,0.0012366,0.0012366
138,1937.16,0.39808,0.25978,0.81863,0.93067,0.8507,0.87179,0.70859,0.33549,0.20891,0.823,0.00123518,0.00123518,0.00123518
139,1951.17,0.38729,0.25683,0.8231,0.91084,0.86773,0.87299,0.71075,0.34376,0.21092,0.82491,0.00123377,0.00123377,0.00123377
140,1965.34,0.39848,0.25966,0.82632,0.96435,0.8614,0.87547,0.72579,0.3478,0.22187,0.82578,0.00123236,0.00123236,0.00123236
141,1981.09,0.39709,0.2614,0.82078,0.96634,0.86332,0.87736,0.71443,0.34379,0.22079,0.82579,0.00123094,0.00123094,0.00123094
142,1995.17,0.40341,0.26382,0.82063,0.93804,0.86437,0.88122,0.71419,0.36293,0.22206,0.82834,0.00122953,0.00122953,0.00122953
143,2009.81,0.39452,0.25371,0.82306,0.96054,0.8384,0.87874,0.71957,0.33648,0.21325,0.8227,0.00122811,0.00122811,0.00122811
144,2023.85,0.38698,0.25285,0.81911,0.91871,0.84914,0.8735,0.70789,0.33035,0.21105,0.82015,0.0012267,0.0012267,0.0012267
145,2038.86,0.3817,0.25127,0.8201,0.94796,0.86359,0.88415,0.71076,0.3387,0.20879,0.82187,0.00122528,0.00122528,0.00122528
146,2052.69,0.40486,0.26854,0.82386,0.94374,0.86373,0.88512,0.71436,0.36423,0.22516,0.82769,0.00122387,0.00122387,0.00122387
147,2066.92,0.41155,0.26737,0.82647,0.93923,0.85419,0.88195,0.70672,0.36158,0.22873,0.82418,0.00122245,0.00122245,0.00122245
148,2081.02,0.40625,0.26066,0.82466,0.92074,0.86385,0.88375,0.71647,0.33707,0.21388,0.82197,0.00122104,0.00122104,0.00122104
149,2096.24,0.39888,0.26639,0.82359,0.95492,0.84914,0.88488,0.71631,0.34432,0.21498,0.82369,0.00121962,0.00121962,0.00121962
150,2110.09,0.39619,0.25706,0.82167,0.92951,0.86315,0.88365,0.72318,0.34835,0.21367,0.82494,0.00121821,0.00121821,0.00121821
151,2124.28,0.39053,0.26214,0.81832,0.90349,0.83313,0.85911,0.69422,0.34143,0.21062,0.82502,0.00121679,0.00121679,0.00121679
152,2138.36,0.39047,0.253,0.81944,0.92459,0.83991,0.86345,0.70691,0.34175,0.20821,0.82485,0.00121538,0.00121538,0.00121538
153,2153.37,0.38998,0.25513,0.81915,0.92092,0.84751,0.86194,0.71004,0.34425,0.20906,0.82424,0.00121396,0.00121396,0.00121396
154,2167.66,0.38093,0.2499,0.8183,0.96032,0.84896,0.88642,0.7263,0.33249,0.20762,0.82423,0.00121255,0.00121255,0.00121255
155,2181.72,0.38179,0.2561,0.82111,0.93899,0.86262,0.87869,0.71327,0.34368,0.21402,0.8231,0.00121113,0.00121113,0.00121113
156,2195.81,0.38091,0.25384,0.81971,0.9417,0.86988,0.88524,0.73189,0.34533,0.20563,0.82395,0.00120972,0.00120972,0.00120972
157,2213.93,0.38657,0.25773,0.82096,0.9376,0.85894,0.88064,0.71871,0.3435,0.21282,0.82266,0.00120831,0.00120831,0.00120831
158,2230.56,0.3917,0.25436,0.82348,0.92202,0.86523,0.86897,0.71053,0.35788,0.21231,0.8267,0.00120689,0.00120689,0.00120689
159,2245.5,0.40051,0.25727,0.82568,0.96393,0.86919,0.88384,0.7102,0.35182,0.21214,0.82768,0.00120548,0.00120548,0.00120548
160,2261.42,0.39244,0.25465,0.82262,0.95621,0.87752,0.88918,0.72033,0.34139,0.21037,0.82247,0.00120406,0.00120406,0.00120406
161,2277.68,0.39057,0.25444,0.81937,0.94286,0.87576,0.8859,0.70953,0.33186,0.20626,0.82197,0.00120265,0.00120265,0.00120265
162,2292.9,0.39568,0.25717,0.82223,0.97481,0.87645,0.88728,0.72694,0.33578,0.2054,0.82317,0.00120123,0.00120123,0.00120123
163,2308.55,0.38615,0.25043,0.81921,0.93445,0.86476,0.88544,0.71391,0.33868,0.20514,0.82301,0.00119982,0.00119982,0.00119982
164,2323.8,0.38172,0.24832,0.81806,0.96826,0.86238,0.88899,0.72663,0.33535,0.20562,0.82315,0.0011984,0.0011984,0.0011984
165,2339.74,0.38045,0.24633,0.81998,0.94546,0.87762,0.882,0.72257,0.33314,0.20212,0.82237,0.00119699,0.00119699,0.00119699
166,2354.11,0.37521,0.24876,0.81775,0.94161,0.86723,0.88085,0.72951,0.34684,0.20913,0.82499,0.00119557,0.00119557,0.00119557
167,2368.84,0.39912,0.2555,0.82194,0.91615,0.86332,0.87703,0.71836,0.35104,0.21061,0.8289,0.00119416,0.00119416,0.00119416
168,2383.14,0.38557,0.24767,0.81854,0.95717,0.8543,0.87244,0.71394,0.34079,0.20748,0.82492,0.00119274,0.00119274,0.00119274
169,2398.4,0.39053,0.25051,0.81936,0.94741,0.87681,0.88603,0.72822,0.3386,0.2059,0.82458,0.00119133,0.00119133,0.00119133
170,2412.6,0.38021,0.24396,0.8178,0.9682,0.86157,0.88597,0.72648,0.33512,0.20808,0.82385,0.00118991,0.00118991,0.00118991
171,2427.51,0.38548,0.24789,0.81953,0.95619,0.85465,0.88274,0.71699,0.35029,0.2131,0.8244,0.0011885,0.0011885,0.0011885
172,2442.07,0.38311,0.24993,0.82061,0.93133,0.87786,0.88435,0.72149,0.34017,0.20496,0.82311,0.00118708,0.00118708,0.00118708
173,2456.68,0.37641,0.24182,0.81964,0.93622,0.87398,0.88271,0.71953,0.32826,0.2016,0.82283,0.00118567,0.00118567,0.00118567
174,2470.8,0.38168,0.24797,0.81827,0.92632,0.86262,0.87921,0.71287,0.34818,0.21079,0.82797,0.00118426,0.00118426,0.00118426
175,2484.94,0.37655,0.24146,0.82023,0.93864,0.85483,0.8803,0.71824,0.32952,0.20888,0.82551,0.00118284,0.00118284,0.00118284
176,2499.2,0.37583,0.24446,0.81818,0.96418,0.87587,0.88832,0.71798,0.33101,0.20788,0.82546,0.00118143,0.00118143,0.00118143
177,2514.22,0.38039,0.24725,0.81697,0.9625,0.86983,0.88159,0.72953,0.33063,0.20247,0.82151,0.00118001,0.00118001,0.00118001
178,2528.66,0.3856,0.2456,0.8173,0.94968,0.86936,0.88428,0.71637,0.33576,0.21161,0.82298,0.0011786,0.0011786,0.0011786
179,2542.8,0.37709,0.24506,0.81758,0.95029,0.86821,0.88222,0.73516,0.33356,0.20397,0.82428,0.00117718,0.00117718,0.00117718
180,2557.88,0.37595,0.24258,0.81879,0.96265,0.87018,0.8865,0.71895,0.33016,0.20312,0.82409,0.00117577,0.00117577,0.00117577
181,2573.1,0.37782,0.24914,0.81512,0.94217,0.86954,0.88436,0.71744,0.33545,0.21168,0.82296,0.00117435,0.00117435,0.00117435
182,2587.73,0.37831,0.24392,0.81678,0.93911,0.86846,0.87758,0.73426,0.33255,0.20403,0.82298,0.00117294,0.00117294,0.00117294
183,2602.68,0.38399,0.24835,0.81776,0.94561,0.87803,0.88317,0.69454,0.33689,0.20763,0.82272,0.00117152,0.00117152,0.00117152
