epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,1288.18,0.62329,0.34723,0.87244,0.99847,1,0.995,0.84259,0.71173,0.30258,0.91836,0.00124226,0.00124226,0.00124226
134,1298.74,0.63438,0.33646,0.87089,0.99856,1,0.995,0.8515,0.65601,0.28969,0.90513,0.00124084,0.00124084,0.00124084
135,1307.75,0.61271,0.32977,0.87337,0.99579,1,0.995,0.8622,0.61589,0.28051,0.89625,0.00123943,0.00123943,0.00123943
136,1316.58,0.64929,0.3428,0.88974,0.99055,1,0.99488,0.86273,0.60962,0.27874,0.89467,0.00123801,0.00123801,0.00123801
137,1326.39,0.6164,0.32498,0.87762,0.98984,1,0.99488,0.86768,0.61053,0.28209,0.89444,0.0012366,0.0012366,0.0012366
138,1336.04,0.64605,0.34087,0.88007,0.99227,1,0.99484,0.87084,0.6039,0.27997,0.89291,0.00123518,0.00123518,0.00123518
139,1345.85,0.60734,0.33155,0.86849,0.99258,1,0.99484,0.86487,0.62708,0.28562,0.89757,0.00123377,0.00123377,0.00123377
140,1355.29,0.60558,0.33085,0.87447,0.99208,1,0.99484,0.86056,0.65195,0.29704,0.90506,0.00123236,0.00123236,0.00123236
141,1363.87,0.61721,0.34472,0.87362,0.99286,1,0.99491,0.86201,0.64914,0.2948,0.90538,0.00123094,0.00123094,0.00123094
142,1373.11,0.62601,0.3395,0.87631,0.99381,0.9969,0.99494,0.87062,0.61462,0.2798,0.89917,0.00122953,0.00122953,0.00122953
143,1382.84,0.63268,0.33651,0.87825,0.99689,0.99685,0.99494,0.87763,0.59472,0.26937,0.89535,0.00122811,0.00122811,0.00122811
144,1393.25,0.6,0.3236,0.86633,0.9969,0.99979,0.99491,0.87984,0.6029,0.27144,0.89133,0.0012267,0.0012267,0.0012267
145,1402.03,0.57063,0.30947,0.87095,0.99671,1,0.99494,0.88062,0.60258,0.27245,0.89036,0.00122528,0.00122528,0.00122528
146,1411.65,0.59716,0.31675,0.86454,0.99624,1,0.99494,0.87582,0.60503,0.27243,0.8891,0.00122387,0.00122387,0.00122387
147,1422.15,0.63252,0.32959,0.87762,0.99357,1,0.99494,0.88151,0.59841,0.26973,0.88732,0.00122245,0.00122245,0.00122245
148,1432.44,0.58604,0.31542,0.86817,0.99423,1,0.99491,0.88098,0.60093,0.27313,0.88625,0.00122104,0.00122104,0.00122104
149,1443.15,0.61466,0.32365,0.88025,0.99382,0.99928,0.99494,0.8808,0.60851,0.27547,0.88814,0.00121962,0.00121962,0.00121962
150,1451.73,0.61502,0.3296,0.87569,0.99341,1,0.99497,0.87963,0.59375,0.26804,0.88339,0.00121821,0.00121821,0.00121821
151,1461.99,0.63013,0.33388,0.86893,0.9969,0.99872,0.995,0.88053,0.59356,0.26405,0.88488,0.00121679,0.00121679,0.00121679
152,1471.02,0.61574,0.3288,0.87523,0.9969,0.99952,0.99497,0.86537,0.63593,0.27448,0.89537,0.00121538,0.00121538,0.00121538
153,1481.76,0.60048,0.32464,0.86529,0.9969,0.99902,0.99497,0.86577,0.63722,0.28111,0.89418,0.00121396,0.00121396,0.00121396
154,1491.19,0.59173,0.30868,0.86967,0.99381,0.99693,0.99494,0.86941,0.62867,0.28217,0.89382,0.00121255,0.00121255,0.00121255
155,1500.16,0.6104,0.31663,0.8713,0.99282,1,0.99497,0.87148,0.62636,0.28569,0.89302,0.00121113,0.00121113,0.00121113
156,1510.13,0.6226,0.34568,0.87292,0.99513,1,0.99497,0.8704,0.60525,0.27757,0.8847,0.00120972,0.00120972,0.00120972
157,1519.84,0.60853,0.32554,0.87255,0.99592,1,0.99494,0.87372,0.59297,0.27309,0.88003,0.00120831,0.00120831,0.00120831
158,1529.39,0.60743,0.32171,0.86811,0.99615,1,0.995,0.87635,0.59432,0.2747,0.87934,0.00120689,0.00120689,0.00120689
